date,wday,month,snap_CA,w_1,w_2,w_3,w_4,w_5,w_6,w_7
2011-01-29,1,1,0,1,0,0,0,0,0,0
2011-01-30,2,1,0,0,1,0,0,0,0,0
2011-01-31,3,1,0,0,0,1,0,0,0,0
2011-02-01,4,2,1,0,0,0,1,0,0,0
2011-02-02,5,2,1,0,0,0,0,1,0,0
2011-02-03,6,2,1,0,0,0,0,0,1,0
2011-02-04,7,2,1,0,0,0,0,0,0,1
2011-02-05,1,2,1,1,0,0,0,0,0,0
2011-02-06,2,2,1,0,1,0,0,0,0,0
2011-02-07,3,2,1,0,0,1,0,0,0,0
2011-02-08,4,2,1,0,0,0,1,0,0,0
2011-02-09,5,2,1,0,0,0,0,1,0,0
2011-02-10,6,2,1,0,0,0,0,0,1,0
2011-02-11,7,2,0,0,0,0,0,0,0,1
2011-02-12,1,2,0,1,0,0,0,0,0,0
2011-02-13,2,2,0,0,1,0,0,0,0,0
2011-02-14,3,2,0,0,0,1,0,0,0,0
2011-02-15,4,2,0,0,0,0,1,0,0,0
2011-02-16,5,2,0,0,0,0,0,1,0,0
2011-02-17,6,2,0,0,0,0,0,0,1,0
2011-02-18,7,2,0,0,0,0,0,0,0,1
2011-02-19,1,2,0,1,0,0,0,0,0,0
2011-02-20,2,2,0,0,1,0,0,0,0,0
2011-02-21,3,2,0,0,0,1,0,0,0,0
2011-02-22,4,2,0,0,0,0,1,0,0,0
2011-02-23,5,2,0,0,0,0,0,1,0,0
2011-02-24,6,2,0,0,0,0,0,0,1,0
2011-02-25,7,2,0,0,0,0,0,0,0,1
2011-02-26,1,2,0,1,0,0,0,0,0,0
2011-02-27,2,2,0,0,1,0,0,0,0,0
2011-02-28,3,2,0,0,0,1,0,0,0,0
2011-03-01,4,3,1,0,0,0,1,0,0,0
2011-03-02,5,3,1,0,0,0,0,1,0,0
2011-03-03,6,3,1,0,0,0,0,0,1,0
2011-03-04,7,3,1,0,0,0,0,0,0,1
2011-03-05,1,3,1,1,0,0,0,0,0,0
2011-03-06,2,3,1,0,1,0,0,0,0,0
2011-03-07,3,3,1,0,0,1,0,0,0,0
2011-03-08,4,3,1,0,0,0,1,0,0,0
2011-03-09,5,3,1,0,0,0,0,1,0,0
2011-03-10,6,3,1,0,0,0,0,0,1,0
2011-03-11,7,3,0,0,0,0,0,0,0,1
2011-03-12,1,3,0,1,0,0,0,0,0,0
2011-03-13,2,3,0,0,1,0,0,0,0,0
2011-03-14,3,3,0,0,0,1,0,0,0,0
2011-03-15,4,3,0,0,0,0,1,0,0,0
2011-03-16,5,3,0,0,0,0,0,1,0,0
2011-03-17,6,3,0,0,0,0,0,0,1,0
2011-03-18,7,3,0,0,0,0,0,0,0,1
2011-03-19,1,3,0,1,0,0,0,0,0,0
2011-03-20,2,3,0,0,1,0,0,0,0,0
2011-03-21,3,3,0,0,0,1,0,0,0,0
2011-03-22,4,3,0,0,0,0,1,0,0,0
2011-03-23,5,3,0,0,0,0,0,1,0,0
2011-03-24,6,3,0,0,0,0,0,0,1,0
2011-03-25,7,3,0,0,0,0,0,0,0,1
2011-03-26,1,3,0,1,0,0,0,0,0,0
2011-03-27,2,3,0,0,1,0,0,0,0,0
2011-03-28,3,3,0,0,0,1,0,0,0,0
2011-03-29,4,3,0,0,0,0,1,0,0,0
2011-03-30,5,3,0,0,0,0,0,1,0,0
2011-03-31,6,3,0,0,0,0,0,0,1,0
2011-04-01,7,4,1,0,0,0,0,0,0,1
2011-04-02,1,4,1,1,0,0,0,0,0,0
2011-04-03,2,4,1,0,1,0,0,0,0,0
2011-04-04,3,4,1,0,0,1,0,0,0,0
2011-04-05,4,4,1,0,0,0,1,0,0,0
2011-04-06,5,4,1,0,0,0,0,1,0,0
2011-04-07,6,4,1,0,0,0,0,0,1,0
2011-04-08,7,4,1,0,0,0,0,0,0,1
2011-04-09,1,4,1,1,0,0,0,0,0,0
2011-04-10,2,4,1,0,1,0,0,0,0,0
2011-04-11,3,4,0,0,0,1,0,0,0,0
2011-04-12,4,4,0,0,0,0,1,0,0,0
2011-04-13,5,4,0,0,0,0,0,1,0,0
2011-04-14,6,4,0,0,0,0,0,0,1,0
2011-04-15,7,4,0,0,0,0,0,0,0,1
2011-04-16,1,4,0,1,0,0,0,0,0,0
2011-04-17,2,4,0,0,1,0,0,0,0,0
2011-04-18,3,4,0,0,0,1,0,0,0,0
2011-04-19,4,4,0,0,0,0,1,0,0,0
2011-04-20,5,4,0,0,0,0,0,1,0,0
2011-04-21,6,4,0,0,0,0,0,0,1,0
2011-04-22,7,4,0,0,0,0,0,0,0,1
